barcode,policy_table9,k,outer_fold,future_point_count,soh_rmse,soh_mae,soh_mse
EL150800463229,7C(30%)-3.6C,20,4,945,0.007078613542305186,0.004994410365790052,5.010676968130638e-05
EL150800464881,5.4C(60%)-3C,20,4,767,0.04506164872665819,0.028002633311946856,0.0020305521859647355
EL150800464883,4.4C(80%)-4.4C,20,4,1053,0.06713995791261135,0.045465304460795414,0.004507773948507224
EL150800440551,4.4C(55%)-6C,20,5,440,0.08238294774822867,0.06999705830642275,0.006786950079687376
EL150800453773,6C(60%)-3C,20,5,596,0.012784468669876727,0.0066135437997526395,0.0001634426391710596
EL150800460602,2C(2%)-5C,20,5,417,0.024498003314415512,0.014699154408576632,0.0006001521663931133
EL150800460604,4.9C(69%)-4.25C,20,5,477,0.02899265311816189,0.014583752875593537,0.0008405739348300624
EL150800460627,5.6C(58%)-3.5C,20,5,438,0.03415309815946308,0.01654314443246752,0.0011664341138899203
EL150800460640,6C(40%)-3.6C,20,5,710,0.005890497030057895,0.0031192667410665357,3.469795526112089e-05
EL150800460641,5.2C(58%)-4C,20,5,499,0.012861907209631927,0.010939008318248993,0.00016542865706918174
EL150800463871,5.4C(60%)-3.6C,20,5,538,0.047391645539274184,0.035714776062875764,0.0022459680669202065
EL150800453113,5.4C(50%)-3C,50,1,668,0.04886656058363028,0.03305705767857146,0.0023879407432736083
EL150800460478,4.4C(24%)-5C,50,1,443,0.012202641883946565,0.008751822294886018,0.000148904468947847
EL150800460511,5.6C(38%)-4.25C,50,1,427,0.014895491325021463,0.008880456524373479,0.00022187566181378968
EL150800460518,1C(4%)-6C,50,1,249,0.07808724559670312,0.06487747179934583,0.006097617924879831
EL150800460608,5.2C(37%)-4.5C,50,1,441,0.019505314776925943,0.010561946780430846,0.00038045730454696556
EL150800460611,4.8C(80%)-4.8C,50,1,410,0.039523611412010835,0.026468223062622538,0.001562115859047633
EL150800460613,6C(4%)-4.75C,50,1,436,0.02024776885529153,0.012118848699052614,0.00040997214361731377
EL150800460614,4.9C(27%)-4.75C,50,1,417,0.0035158051712128086,0.002675105903643839,1.2360886001926726e-05
EL150800465027,4.8C(80%)-4.8C,50,1,819,0.03235326359060126,0.01929694011015264,0.0010467336649629254
EL150800460486,3.6C(80%)-3.6C,50,2,2109,0.07444114180936275,0.05376619717403772,0.005541483593881654
EL150800460498,6C(31%)-4.25C,50,2,411,0.009832502399298055,0.006007967540667278,9.6678103432202e-05
EL150800460501,4.65C(69%)-6C,50,2,476,0.016209089011847068,0.009289547454574679,0.0002627345665939814
EL150800460522,5.4C(50%)-3.6C,50,2,806,0.07723046118380333,0.056460427957884605,0.005964544134662953
