model_id,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3R,EL150800460501,4.65C(69%)-6C,20,2,506,0.00021981192146167767,0.014826055492330981,0.00894965774166554
M3R,EL150800460522,5.4C(50%)-3.6C,20,2,836,0.004326433849847401,0.06577563264498032,0.045927566773192624
M3R,EL150800460525,6C(50%)-3C,20,2,721,0.00011270053893082964,0.010616051004532223,0.005890938653844107
M3R,EL150800460618,7C(40%)-3C,20,2,681,0.0006888879210214763,0.026246674475473578,0.013503722889080225
M3R,EL150800460659,5.4C(80%)-5.4C,20,2,849,0.0004632111226504266,0.021522340083049207,0.0137718595099858
M3R,EL150800464977,4C(80%)-4C,20,2,1413,0.004307748905021256,0.06563344349507541,0.04421659084721961
M3R,EL150800460485,7C(40%)-3.6C,20,3,595,6.156741000254868e-05,0.007846490298378549,0.004280175601085152
M3R,EL150800460506,6C(50%)-3.6C,20,3,683,0.002126893199922803,0.046118252351133204,0.02634185224278526
M3R,EL150800460507,6C(30%)-3.6C,20,3,839,0.00033315430822282774,0.018252515120465666,0.01065821572002234
M3R,EL150800460603,4.65C(19%)-4.85C,20,3,468,0.0001364681443180032,0.011681958068663113,0.009921995744291848
M3R,EL150800460630,5.4C(70%)-3C,20,3,996,0.000504066882266677,0.02245143385769998,0.014196817537034353
M3R,EL150800460634,3.6C(30%)-6C,20,3,490,0.002435025426771957,0.04934597680431463,0.03727280739368541
M3R,EL150800463208,4C(40%)-6C,20,3,462,0.00031255590013989443,0.017679250553682822,0.014425433834004757
M3R,EL150800463882,5.4C(40%)-3.6C,20,3,767,0.0012661897174640702,0.03558355965139056,0.019334207202500106
M3R,EL150800460466,4C(13%)-5C,20,4,456,0.0001366000132061706,0.011687600831914589,0.008204097935921825
M3R,EL150800460513,5.6C(65%)-3C,20,4,408,9.190203535607252e-05,0.00958655492635767,0.005506462343736461
M3R,EL150800460615,6C(40%)-3C,20,4,688,4.285231256850002e-05,0.006546167777295356,0.0046965857466897375
M3R,EL150800460628,5.2C(71%)-3C,20,4,442,0.0008494783021757222,0.029145811057092273,0.016700074438484445
M3R,EL150800460655,3.6C(22%)-5.5C,20,4,423,0.0008852651008996078,0.029753404862294462,0.024438686620802057
M3R,EL150800463229,7C(30%)-3.6C,20,4,945,0.00065014665282034,0.02549797350418931,0.015203101436129803
M3R,EL150800464881,5.4C(60%)-3C,20,4,767,0.0006264687952160636,0.025029358665696243,0.014732730852511394
M3R,EL150800464883,4.4C(80%)-4.4C,20,4,1053,0.0024574755847579888,0.0495729319766139,0.030452588812375128
M3R,EL150800440551,4.4C(55%)-6C,20,5,440,0.003898635992894457,0.06243905823196292,0.04680281995663456
M3R,EL150800453773,6C(60%)-3C,20,5,596,0.0003850184927409204,0.019621888103363558,0.009471677723948187
M3R,EL150800460602,2C(2%)-5C,20,5,417,0.00039073465541705185,0.019767009268401022,0.012019444559261325
M3R,EL150800460604,4.9C(69%)-4.25C,20,5,477,0.0010620715058231847,0.032589438562564785,0.01593340151444797
M3R,EL150800460627,5.6C(58%)-3.5C,20,5,438,0.0012565431043007648,0.03544775175241393,0.017165864216407995
M3R,EL150800460640,6C(40%)-3.6C,20,5,710,1.1446881784241882e-05,0.0033833240731922032,0.002283446929829777
M3R,EL150800460641,5.2C(58%)-4C,20,5,499,0.0006251431920517439,0.025002863677021956,0.012955930501101666
M3R,EL150800463871,5.4C(60%)-3.6C,20,5,538,0.0005327457474585489,0.02308128565436832,0.01992984661233791
M3R,EL150800453113,5.4C(50%)-3C,50,1,668,0.0005921534666144069,0.024334203636330633,0.016678962433508467
M3R,EL150800460478,4.4C(24%)-5C,50,1,443,0.00053045418793185,0.023031591085547042,0.01327354949364452
M3R,EL150800460511,5.6C(38%)-4.25C,50,1,427,0.00013169427318446736,0.01147581252829042,0.009222727499557179
M3R,EL150800460518,1C(4%)-6C,50,1,249,0.006162458486989206,0.07850132793137454,0.06521554325583788
M3R,EL150800460608,5.2C(37%)-4.5C,50,1,441,1.9669624252157867e-05,0.004435045011288822,0.002969744161692796
M3R,EL150800460611,4.8C(80%)-4.8C,50,1,410,0.0017744109218902173,0.042123757214785784,0.028161358016766756
M3R,EL150800460613,6C(4%)-4.75C,50,1,436,0.00018942027701063035,0.013763003923948811,0.008060007817872689
M3R,EL150800460614,4.9C(27%)-4.75C,50,1,417,2.739599121676108e-05,0.005234117997978368,0.0034973230138986415
M3R,EL150800465027,4.8C(80%)-4.8C,50,1,819,0.000621221526199114,0.02492431596251167,0.014966142816376099
M3R,EL150800460486,3.6C(80%)-3.6C,50,2,2109,0.008024939936070992,0.08958202909105704,0.07021025021496127
M3R,EL150800460498,6C(31%)-4.25C,50,2,411,0.0002606550795349476,0.016144815871819276,0.00894667511487778
M3R,EL150800460501,4.65C(69%)-6C,50,2,476,0.000364870367574616,0.019101580237629975,0.010849744479228467
M3R,EL150800460522,5.4C(50%)-3.6C,50,2,806,0.004582171029997314,0.06769173531530503,0.048005928464484725
M3R,EL150800460525,6C(50%)-3C,50,2,691,0.0006849405957882899,0.02617136977286993,0.017679576483326846
M3R,EL150800460618,7C(40%)-3C,50,2,651,0.0002879478016263443,0.016969024769454027,0.009549703122804095
M3R,EL150800460659,5.4C(80%)-5.4C,50,2,819,0.001632624751176023,0.040405751461592976,0.026113356602673075
M3R,EL150800464977,4C(80%)-4C,50,2,1383,0.005908027011893524,0.07686369111546441,0.054610129437589576
M3R,EL150800460485,7C(40%)-3.6C,50,3,565,0.0012277623408842927,0.03503943979124513,0.02291156477995512
M3R,EL150800460506,6C(50%)-3.6C,50,3,653,0.0020912292007867622,0.04572995955374072,0.026454936644871876
M3R,EL150800460507,6C(30%)-3.6C,50,3,809,0.0006043977886584262,0.024584503018333037,0.014921905961413687
M3R,EL150800460603,4.65C(19%)-4.85C,50,3,438,7.287756879878398e-05,0.008536835994605026,0.0071479454736955005
M3R,EL150800460630,5.4C(70%)-3C,50,3,966,0.000134014849789762,0.011576478298246061,0.008333371779876489
M3R,EL150800460634,3.6C(30%)-6C,50,3,460,0.003956425603354271,0.06290012403290053,0.049211520896539074
M3R,EL150800463208,4C(40%)-6C,50,3,432,0.0006261026951646029,0.025022044184370765,0.01727079318024389
M3R,EL150800463882,5.4C(40%)-3.6C,50,3,737,0.0017002997173606615,0.04123469070286161,0.023947825987749593
M3R,EL150800460466,4C(13%)-5C,50,4,426,0.00015893302375167103,0.012606864152185945,0.009099008318320397
M3R,EL150800460513,5.6C(65%)-3C,50,4,378,0.0006642702072882624,0.025773439958380846,0.013578342788849757
M3R,EL150800460615,6C(40%)-3C,50,4,658,0.00035931762025611974,0.018955675146407204,0.012580188687923998
M3R,EL150800460628,5.2C(71%)-3C,50,4,412,0.001068370760423188,0.03268594132686388,0.019524993236973116
M3R,EL150800460655,3.6C(22%)-5.5C,50,4,393,0.0008956532008706068,0.029927465660670415,0.02458477764516876
M3R,EL150800463229,7C(30%)-3.6C,50,4,915,0.0007283391188967304,0.026987758686054877,0.01641103934946793
M3R,EL150800464881,5.4C(60%)-3C,50,4,737,0.001327588330361531,0.03643608555212169,0.02243958621167286
M3R,EL150800464883,4.4C(80%)-4.4C,50,4,1023,0.0032237599881966513,0.05677816471317694,0.036493230720991275
M3R,EL150800440551,4.4C(55%)-6C,50,5,410,0.003105705317615443,0.05572885534097612,0.04086653761147136
M3R,EL150800453773,6C(60%)-3C,50,5,566,0.00029973604402064855,0.017312886646098292,0.008836692413736462
M3R,EL150800460602,2C(2%)-5C,50,5,387,0.00036333254841286445,0.019061284017947596,0.012108979078844326
