replicate,rmse_log_m1,rmse_log_m2,delta_rmse_log_m2_minus_m1,mae_log_m1,mae_log_m2,delta_mae_log_m2_minus_m1,relative_mae_improvement
1116,0.41120250524756385,0.3818162564988519,-0.02938624874871193,0.2908663675731327,0.2446004960309997,-0.04626587154213302,0.15906229354791376
1117,0.4094422831060292,0.42218507280290374,0.012742789696874535,0.3060748347420903,0.29673200910519865,-0.00934282563689165,0.03052464487896972
1118,0.35841867332112387,0.31854470313385297,-0.0398739701872709,0.26550462453689183,0.2062702806525693,-0.05923434388432253,0.22310098736563408
1119,0.45373829858936726,0.4287693325648667,-0.02496896602450055,0.3170910850625175,0.2778699367586158,-0.039221148303901665,0.12369047933393916
1120,0.3690587422968045,0.3248730469289449,-0.0441856953678596,0.26009853641462594,0.20269316581714775,-0.05740537059747819,0.2207062422910664
1121,0.46341494667866723,0.460860336792579,-0.002554609886088244,0.34459666699105174,0.3137105678084671,-0.030886099182584614,0.08962970957402396
1122,0.30161567370382875,0.337692392266632,0.036076718562803256,0.21680793833080086,0.24235535190528498,0.025547413574484118,-0.11783430888727159
1123,0.26626079039510475,0.21927175302899868,-0.04698903736610607,0.2153759157470037,0.16159011937414827,-0.05378579637285544,0.24972985575618475
1124,0.33746384534110224,0.30284360138024924,-0.034620243960853,0.26317298387275473,0.2147405350159175,-0.04843244885683723,0.18403275345411035
1125,0.4056479810396425,0.4296287550056988,0.0239807739660563,0.289058023869351,0.2991442100760429,0.010086186206691938,-0.03489329260498478
1126,0.38687257590184043,0.35365961155634285,-0.033212964345497586,0.28994925013996004,0.23983224042835763,-0.050117009711602406,0.17284752310071733
1127,0.4310482998610828,0.42442061120671737,-0.006627688654365416,0.3149779459128546,0.28546258259375124,-0.02951536331910337,0.09370612673710631
1128,0.3119156837386601,0.3140451382880928,0.0021294545494326966,0.23682257068044946,0.21958271729030643,-0.01723985339014303,0.0727964962993548
1129,0.3262215787243582,0.3561511520949025,0.029929573370544305,0.22756721566738766,0.23537502599570598,0.007807810328318315,-0.03430990841725732
1130,0.358038205914355,0.3857574038429561,0.027719197928601114,0.2546039546378913,0.28320987598675684,0.028605921348865526,-0.11235458376736566
1131,0.3732250870731831,0.30853908452070866,-0.06468600255247442,0.28449424778747606,0.19081526101989307,-0.09367898676758299,0.3292825338161614
1132,0.38086858444090255,0.3854750600455384,0.00460647560463584,0.264377325605348,0.26187636658275837,-0.0025009590225896217,0.009459809069719369
1133,0.3782517832712176,0.37252124899485634,-0.0057305342763612765,0.2892312588591042,0.26641402188031776,-0.02281723697878646,0.07888924962257148
1134,0.38386981521803215,0.3567108035926508,-0.02715901162538137,0.3026510863101004,0.262552704142731,-0.040098382167369384,0.13249046172688783
1135,0.4079722308809153,0.40251578096461227,-0.005456449916303008,0.29147882066247394,0.2461879550964161,-0.045290865566057825,0.1553830410838105
1136,0.28884558770421576,0.2874101555067085,-0.001435432197507247,0.23952329883673124,0.22251022571428206,-0.01701307312244918,0.07102888614625326
1137,0.30295253089659935,0.28846677010195815,-0.0144857607946412,0.24839672654421757,0.20213921277241303,-0.04625751377180454,0.18622432918241436
1138,0.43367714508642974,0.4048108193652218,-0.028866325721207953,0.3222868841522875,0.2541345120665987,-0.0681523720856888,0.2114649259306666
1139,0.2657330389183008,0.2965191753523909,0.030786136434090117,0.21804361781767742,0.21096373600062115,-0.007079881817056266,0.03247002543764562
1140,0.3255330455558722,0.33981804236925,0.014284996813377804,0.25141175667528665,0.24348285223090724,-0.007928904444379409,0.0315375245343839
1141,0.3084998636502885,0.3152272790049114,0.006727415354622901,0.23347855062311465,0.23074216675273956,-0.0027363838703750865,0.011720065346783
1142,0.36501572254009595,0.36246223753304274,-0.0025534850070532134,0.27755126570671873,0.24630214142593662,-0.03124912428078211,0.11258865709444198
1143,0.30029696755689705,0.297914279285728,-0.0023826882711690534,0.24457321055408973,0.22621003056953376,-0.018363179984555972,0.07508254866897933
1144,0.486465935909783,0.46557569587065595,-0.02089024003912704,0.35348226282971323,0.2900083631119153,-0.06347389971779793,0.17956742499517123
1145,0.3468912390034635,0.2964779232523485,-0.05041331575111502,0.2810850020185841,0.21126937753695854,-0.06981562448162557,0.24837904541420414
1146,0.44966231137583246,0.45855203745356965,0.008889726077737192,0.32280794473599306,0.3004043049393308,-0.022403639796662267,0.06940238046180981
1147,0.30541362691626267,0.3272155105798464,0.02180188366358371,0.20183077672501296,0.2280285990600405,0.026197822335027543,-0.12980092907595117
1148,0.3453707597384576,0.3389218508942805,-0.0064489088441770925,0.2631801374405104,0.22799989937168297,-0.03518023806882742,0.13367360626437705
1149,0.35606745579604715,0.3417192390927014,-0.01434821670334574,0.26690316203754105,0.22350987434305294,-0.04339328769448811,0.1625806429688707
1150,0.39045550515351024,0.3833888579600219,-0.007066647193488318,0.29583107987953755,0.26128130660652643,-0.03454977327301112,0.11678885561003188
1151,0.37371843789431136,0.40801030039772757,0.034291862503416204,0.273559615661802,0.27507320814803526,0.001513592486233284,-0.0055329529637317435
1152,0.39867027355227247,0.3939585112616796,-0.004711762290592891,0.28466306590577717,0.25236715972402074,-0.03229590618175643,0.11345309613311866
1153,0.37057458975096513,0.35451745805576756,-0.01605713169519757,0.2636763572039218,0.24667762030452836,-0.016998736899393435,0.0644681877421682
1154,0.39331844828187623,0.42350247218821574,0.030184023906339508,0.296043470825072,0.30490605202188864,0.008862581196816655,-0.02993675615313074
1155,0.4029298154430488,0.38794326874207574,-0.014986546700973047,0.27277530995190585,0.23314700244387873,-0.03962830750802712,0.14527820540287958
1156,0.32635793239799943,0.3201101859090284,-0.006247746488971029,0.24540908866956354,0.21150429490870964,-0.033904793760853896,0.1381562269949413
1157,0.40594594036920356,0.37205343548905573,-0.03389250488014783,0.299364579862623,0.2373059782375032,-0.06205860162511978,0.20730108302591504
1158,0.3394267486890674,0.3028589716776847,-0.036567777011382696,0.28455044539693364,0.23173753988360027,-0.05281290551333337,0.18560120487480528
1159,0.259419331570841,0.2582247157579005,-0.0011946158129405027,0.2115177891444989,0.20574555976223774,-0.005772229382261157,0.027289569381409542
1160,0.38583874257304107,0.3898612020316165,0.004022459458575434,0.3018103701262957,0.277361500894782,-0.02444886923151368,0.08100738626470257
1161,0.3904582566043214,0.35259983256132627,-0.03785842404299511,0.27869251847155896,0.22257983998496061,-0.056112678486598344,0.2013426079549557
1162,0.4054973797859976,0.4176465542100347,0.012149174424037124,0.30273594953559047,0.2768303343013349,-0.025905615234255552,0.08557165171165117
1163,0.34205207527749487,0.25934311384314446,-0.08270896143435041,0.2799592179482083,0.19832855998479856,-0.08163065796340976,0.2915805329135875
1164,0.39762680917766874,0.38735010844816753,-0.01027670072950121,0.29757020307817833,0.2707808211005111,-0.026789381977667226,0.09002709848146005
1165,0.3413370943623804,0.33612618288592333,-0.005210911476457081,0.24455810770577116,0.236132946154853,-0.008425161550918159,0.03445055095476329
1166,0.3869470685978578,0.3825566121045899,-0.0043904564932679135,0.2653552377332919,0.26143358661939853,-0.003921651113893365,0.014778872078775434
1167,0.2662014317268912,0.2775066352782907,0.011305203551399523,0.21246532068630644,0.20480500250181705,-0.007660318184489395,0.03605444013048812
1168,0.2686693545190527,0.31802754376785597,0.04935818924880325,0.19837649102860297,0.21717313988303064,0.018796648854427667,-0.09475240113868869
1169,0.3960524745484473,0.4182658765630101,0.022213402014562844,0.27822896384274654,0.29513328467942873,0.016904320836682196,-0.06075686946178768
1170,0.38474270559407153,0.3865086816958401,0.0017659761017685405,0.2676199928292403,0.2548845494365554,-0.012735443392684898,0.047587787661331316
1171,0.3165290279603665,0.3043953084907066,-0.01213371946965991,0.23614921627387953,0.205612425585516,-0.030536790688363513,0.12931142084735
1172,0.415701539033513,0.43511835227365137,0.019416813240138386,0.30330469848197217,0.3163098329349728,0.01300513445300061,-0.04287811734566192
1173,0.26381366602080336,0.2248375214059713,-0.038976144614832064,0.2059327483145667,0.15710663400006128,-0.048826114314505425,0.23709737627510552
1174,0.3552604423084829,0.368636611028857,0.01337616872037406,0.27319631953874823,0.2513002356594021,-0.021896083879346107,0.08014779963476236
1175,0.32315202289684586,0.3223271547610185,-0.0008248681358273835,0.21959789090133988,0.20151648874050887,-0.01808140216083101,0.08233868771059626
1176,0.3064899687095035,0.3108375641582561,0.0043475954487525725,0.24641605193094232,0.23900371517102043,-0.007412336759921895,0.030080575927737004
1177,0.45905015026114493,0.4565612946137596,-0.002488855647385324,0.34224020889798645,0.3061302794015949,-0.03610992949639158,0.1055104822798746
1178,0.3245881646017907,0.3518182766690711,0.027230112067280432,0.24977234019789205,0.27042717736169275,0.020654837163800704,-0.08269465364914341
1179,0.3305120043460876,0.2920365477737472,-0.03847545657234036,0.2644036442802996,0.21991212861332948,-0.04449151566697013,0.16827118925714873
1180,0.39279167171097085,0.3981818284890525,0.005390156778081634,0.2735418947114073,0.243642250643522,-0.029899644067885284,0.10930553836892176
1181,0.31071287357382577,0.33566522441815255,0.024952350844326787,0.2590453325273891,0.25969408234689595,0.0006487498195068553,-0.00250438721739278
1182,0.2956938794180764,0.2992501857241129,0.003556306306036483,0.239069284973106,0.21647461175086177,-0.022594673222244233,0.09451098339456702
1183,0.2588948576355551,0.24745607178800555,-0.011438785847549537,0.20302688603203736,0.1793963143973866,-0.023630571634650765,0.11639134154341457
1184,0.43892923341925555,0.44629196782016584,0.007362734400910287,0.3064699534255662,0.3015211868148399,-0.004948766610726296,0.01614764043068981
1185,0.46756454671343844,0.45625381835269263,-0.011310728360745814,0.3366241862682798,0.305069993781572,-0.031554192486707766,0.093737151915638
