C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
5.6,31.0,5.4,0.31,False,5.4,8.765873015873018,5.599999999999999,5.51,5.4,5.4,False,0.9414881836751863,2.218022805358412,True,True,True,0.915,True,5.998139428533946,402.67888323812093,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,69.0,4.8,0.69,False,4.8,8.767857142857144,5.599999999999999,5.599999999999999,5.6,5.159999999999999,False,0.7555630418463317,2.1770322843570393,True,True,True,0.998,True,5.816279578484787,335.7207047677179,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,30.0,5.4,0.3,False,5.4,8.769841269841269,5.599999999999999,5.5,5.4,5.4,False,0.940604451772305,2.2080816809347654,True,True,True,0.915,True,5.99772600061549,402.51243895434516,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,22.0,5.5,0.22,False,5.5,8.771717171717173,5.4,5.49,5.499999999999999,5.5,False,0.9161323427255232,2.1683833957065306,True,True,True,0.989,True,6.040738596397161,420.20328092863565,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.8,31.0,6.0,0.31,False,6.0,8.775,4.8,5.34,6.0,6.0,False,0.8880441706241824,2.2807370592630183,True,True,True,0.857,True,6.283449775965529,535.6332950815791,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,24.0,5.5,0.24,False,5.5,8.775757575757575,5.4,5.48,5.499999999999999,5.5,False,0.909480957604335,2.1603178916435626,True,True,True,0.989,True,6.035868574254667,418.16185657179756,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,27.0,5.4,0.27,False,5.4,8.781746031746032,5.599999999999999,5.47,5.4,5.4,False,0.8744922725181042,2.2066831998913945,True,True,True,0.915,True,5.991257954162437,399.9173713573233,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.4,27.0,5.5,0.27,False,5.5,8.781818181818181,5.4,5.465000000000001,5.499999999999999,5.5,False,0.9656405825636565,2.1483920873665436,True,True,True,0.989,True,6.0367737756659485,418.5405486449521,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
5.6,69.0,4.75,0.69,False,4.75,8.78233082706767,5.599999999999999,5.599999999999999,5.6,5.132499999999999,False,0.7219941206160074,2.165690867794218,True,True,True,1.0,True,5.826679365420525,339.2303466991525,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
4.65,27.0,6.0,0.27,False,6.0,8.783870967741935,4.65,5.527500000000001,6.0,6.0,False,0.8196102740177862,2.2876598198279297,True,True,True,0.857,True,6.2977656243687505,543.3564902783838,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
6.0,69.0,3.5,0.69,False,3.5,8.785714285714288,6.000000000000001,6.000000000000001,6.0,4.624999999999999,False,0.5487202179171278,2.233345376580809,True,True,True,0.987,True,6.581613678003775,721.7029863470461,N/A,new_parameter_combo,Q2_provisional,requires_pilot_and_Q3_k100_confirmation
