C1,Q1_percent,C2,q,single_stage_0_80,C2_effective,tau_0_80_min,E0_20,E20_40,E40_60,E60_80,observed_train_parameter_combo,d5_raw,d5_soc,passes_raw_5nn,passes_soc_5nn,passes_double_5nn,support_bootstrap_rate,passes_support_bootstrap,q2b_pred_log_life,q2b_pred_cycle_life,model_disagreement_log,candidate_type,status,status_reason
1.0,19.0,4.75,0.19,False,4.75,19.105263157894736,1.1875000000000002,4.75,4.75,4.75,False,1.933752959972934,12.742738762083967,False,False,False,0.0,False,5.311716084345935,202.69777657318826,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.8,0.19,False,4.8,19.025000000000002,1.1900000000000002,4.8,4.8,4.8,False,1.9133741166337763,12.632046356076026,False,False,False,0.0,False,5.301316297410196,200.60068643077602,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,4.85,0.19,False,4.85,18.946391752577323,1.1925000000000001,4.85,4.85,4.85,False,1.893621004901478,12.524634758916113,False,False,False,0.0,False,5.2936209956816525,199.06292796794858,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,5.0,0.19,False,5.0,18.720000000000002,1.2000000000000002,5.0,5.0,5.000000000000001,False,1.8828204256120769,12.221520259275115,False,False,False,0.0,False,5.28676200173919,197.70222840048842,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,5.4,0.19,False,5.4,18.17777777777778,1.2200000000000002,5.4,5.4,5.4,False,1.9098200844849347,11.544823978171513,False,False,False,0.0,False,5.326387501215256,205.6935626279709,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,5.5,0.19,False,5.5,18.054545454545455,1.225,5.5,5.499999999999999,5.5,False,1.9248409687821075,11.403728697231932,False,False,False,0.0,False,5.3442508534289495,209.40095381760455,N/A,new_parameter_combo,rejected,no_support
1.0,19.0,6.0,0.19,False,6.0,17.5,1.2500000000000002,6.000000000000001,6.0,6.0,False,1.9686607122610036,10.852856780895678,False,False,False,0.0,False,5.481309478565467,240.16098722301354,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,3.0,0.22,False,3.0,24.8,1.0,2.8000000000000003,3.0,3.0,False,2.576941016011039,21.05835474436701,False,False,False,0.0,False,5.998048741237007,402.6423670344684,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,3.5,0.22,False,3.5,23.142857142857142,1.0,3.2500000000000004,3.5,3.4999999999999996,False,2.3223151054453384,18.592098327894863,False,False,False,0.0,False,6.093660607600531,443.04024286479404,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,3.6,0.22,False,3.6,22.866666666666667,1.0,3.3400000000000007,3.6,3.6000000000000005,False,2.320936761090141,18.182958167230964,False,False,False,0.0,False,6.063278585446346,429.7822071803678,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.0,0.22,False,4.0,21.9,1.0,3.7,4.0,4.0,False,2.271319067441308,16.76247065548946,False,False,False,0.0,False,5.776735845406641,322.70411327294806,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.25,0.22,False,4.25,21.388235294117646,1.0,3.9250000000000007,4.25,4.25,False,2.157051204297011,16.023168216265216,False,False,False,0.0,False,5.548945372260279,256.96640904824903,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.4,0.22,False,4.4,21.10909090909091,1.0,4.0600000000000005,4.4,4.4,False,2.0811703193057474,15.62608541029741,False,False,False,0.0,False,5.444724910858801,231.5335785774913,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.5,0.22,False,4.5,20.933333333333334,1.0,4.15,4.5,4.5,False,2.0329461129009756,15.379034329954232,False,False,False,0.0,False,5.388767029293789,218.93328075073742,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.75,0.22,False,4.75,20.526315789473685,1.0,4.375,4.75,4.75,False,1.92168413064145,14.818307759747437,False,False,False,0.0,False,5.296200816507172,199.5771376543455,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.8,0.22,False,4.8,20.45,1.0,4.42,4.8,4.8,False,1.9011759250419689,14.71532256468681,False,False,False,0.0,False,5.285801029571433,197.51233331805,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,4.85,0.22,False,4.85,20.37525773195876,1.0,4.465,4.85,4.85,False,1.8963510880054868,14.615234748093625,False,False,False,0.0,False,5.278105727842889,195.99824945584228,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,5.0,0.22,False,5.0,20.16,1.0,4.6000000000000005,5.0,5.000000000000001,False,1.892550514247795,14.320848213233807,False,False,False,0.0,False,5.271246733900426,194.65849857414898,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,5.4,0.22,False,5.4,19.644444444444446,1.0,4.960000000000001,5.4,5.4,False,1.919413308534562,13.633330927895505,False,False,False,0.0,False,5.310872233376493,202.52680200659577,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,5.5,0.22,False,5.5,19.527272727272727,1.0,5.05,5.499999999999999,5.5,False,1.9343596999988377,13.485629237169672,False,False,False,0.0,False,5.328735585590186,206.17711595823826,N/A,new_parameter_combo,rejected,no_support
1.0,22.0,6.0,0.22,False,6.0,19.0,1.0,5.5,6.0,6.0,False,1.944251731622829,12.877919777594762,False,False,False,0.0,False,5.4657942107267035,236.46358246512156,N/A,new_parameter_combo,rejected,no_support
1.0,24.0,3.0,0.24,False,3.0,25.599999999999998,1.0,2.6,3.0,3.0,False,2.5775745005959485,22.24806291763093,False,False,False,0.0,False,5.993178719094513,400.6862568076695,N/A,new_parameter_combo,rejected,no_support
1.0,24.0,3.5,0.24,False,3.5,24.0,1.0,3.0000000000000004,3.5,3.4999999999999996,False,2.281890663463086,19.861589376494234,False,False,False,0.0,False,6.088790585458037,440.88787237200614,N/A,new_parameter_combo,rejected,no_support
1.0,24.0,3.6,0.24,False,3.6,23.733333333333334,1.0,3.0800000000000005,3.6,3.6000000000000005,False,2.2804878863962426,19.46487825060923,False,False,False,0.0,False,6.058408563303852,427.69424664865875,N/A,new_parameter_combo,rejected,no_support
1.0,24.0,4.0,0.24,False,4.0,22.8,1.0,3.400000000000001,4.0,4.0,False,2.2706001409319088,18.08391562180299,False,False,False,0.0,False,5.7718658232641475,321.1363576965727,N/A,new_parameter_combo,rejected,no_support
