repeat,feature,standardized_coefficient
185,Q1_percent,0.13569784581231176
185,C2,-0.2352645611970555
186,C1,-0.022552674992443986
186,Q1_percent,0.1333174214708287
186,C2,-0.16004311005713195
187,C1,-0.012002217556693201
187,Q1_percent,0.18840056582868805
187,C2,-0.1337871964525121
188,C1,0.03330833767624476
188,Q1_percent,0.10973487427577573
188,C2,-0.0599654069813853
189,C1,-0.09540776831331149
189,Q1_percent,0.13153843338588644
189,C2,-0.20664944918039696
190,C1,0.02153000388142825
190,Q1_percent,0.09297573756418431
190,C2,-0.0861363431606722
191,C1,-0.12994858191065708
191,Q1_percent,0.13979069789048973
191,C2,-0.10549425159902504
192,C1,-0.02641526224648552
192,Q1_percent,0.13959019762391814
192,C2,-0.09936921689427747
193,C1,-0.07981946590947664
193,Q1_percent,0.14279643789828933
193,C2,-0.1430634835726467
194,C1,-0.12728313307692787
194,Q1_percent,0.14987192304066474
194,C2,-0.1600858841133028
195,C1,-0.11919391603771701
195,Q1_percent,0.07225093419277355
195,C2,-0.1518318664267575
196,C1,-0.18111773513267068
196,Q1_percent,0.15615573327565532
196,C2,-0.22142518312388482
197,C1,-0.09437688879689127
197,Q1_percent,0.0057682495477518435
197,C2,-0.155451862207142
198,C1,0.057274744519675784
198,Q1_percent,0.09918489143101956
198,C2,-0.08363344376726432
199,C1,-0.04494382052844276
199,Q1_percent,0.1706616130635755
199,C2,-0.10138706106743628
200,C1,0.03900132925637421
200,Q1_percent,0.11244590032036977
200,C2,-0.057451417862212965
201,C1,-0.12190199287754082
201,Q1_percent,0.17127363814391686
201,C2,-0.19339868466548663
202,C1,0.07085744846433145
202,Q1_percent,0.08196553526836764
202,C2,-0.060136758096774975
203,C1,-0.08372883064299003
203,Q1_percent,0.08712082759885292
203,C2,-0.15368659307923327
204,C1,-0.0990713542045708
204,Q1_percent,0.17466499139555983
204,C2,-0.13497401293113007
205,C1,0.04144946501151925
205,Q1_percent,0.09141351370143644
205,C2,-0.06157000169645702
206,C1,-0.0496032834395519
206,Q1_percent,0.17716943859336293
206,C2,-0.07618634324043225
207,C1,-0.014724408754570357
207,Q1_percent,0.060349083582805954
207,C2,-0.08139345081447068
208,C1,-0.12986209659969736
208,Q1_percent,0.14993433053370422
208,C2,-0.13605345292295284
209,C1,0.0500755564780409
209,Q1_percent,0.16121416612695397
209,C2,0.024378600759138547
210,C1,-0.06833466179264713
210,Q1_percent,0.052767143445446626
210,C2,-0.18993121758479498
211,C1,-0.09485006689824059
211,Q1_percent,0.17741388145009154
211,C2,-0.17764560680896485
212,C1,-0.005199380987651017
212,Q1_percent,0.14708599444242584
212,C2,-0.16967489864823945
213,C1,-0.20474183530028153
213,Q1_percent,0.1098935620676846
213,C2,-0.1810488491810945
214,C1,0.07091635950229266
214,Q1_percent,0.03704721782621516
214,C2,-0.09262600065453526
215,C1,-0.023922104266376087
215,Q1_percent,0.1566803635766063
215,C2,-0.13509037382955316
216,C1,-0.07748305587302655
216,Q1_percent,0.18498444488860202
216,C2,-0.17779397921306125
217,C1,0.1460456983523982
217,Q1_percent,0.036924273486098835
217,C2,-0.05736052399601425
218,C1,-0.005158230423048602
218,Q1_percent,0.06525098038469714
218,C2,-0.10766422993615829
219,C1,-0.057310997720373916
219,Q1_percent,0.15750740485021747
219,C2,-0.19435561042247196
220,C1,-0.06719072566037024
220,Q1_percent,0.17024064834028904
220,C2,-0.17918297915295778
221,C1,0.10385709975899104
221,Q1_percent,0.08862053121008517
221,C2,-0.06398987777292547
222,C1,-0.024545754411287608
222,Q1_percent,0.146340838713159
222,C2,-0.16737136160343027
223,C1,-0.013455354895021818
223,Q1_percent,0.21690570216291422
223,C2,-0.0858185911533021
224,C1,-0.03543553353014875
224,Q1_percent,0.10837430511041445
224,C2,-0.09464578210875553
225,C1,-0.04795110925099757
225,Q1_percent,0.23093910347740174
225,C2,-0.17820322232061847
226,C1,0.042296332625863624
226,Q1_percent,0.13789226780136718
226,C2,-0.11376148719102161
227,C1,-0.052847028543880445
227,Q1_percent,0.09373523806232367
227,C2,-0.13828010975397925
228,C1,-0.08291450195052218
228,Q1_percent,0.16697062978120478
228,C2,-0.16824307300032182
229,C1,0.0016380584939198611
229,Q1_percent,0.10983477561646195
229,C2,-0.11915211767320324
230,C1,0.04299267034524406
230,Q1_percent,0.043938624463945544
230,C2,-0.047908660543381304
231,C1,-0.11859097088767125
231,Q1_percent,0.11779746634690658
231,C2,-0.18274497269418577
232,C1,0.047942229867646735
232,Q1_percent,0.02006477838262306
232,C2,-0.12610731816486664
233,C1,-0.11268326796513072
233,Q1_percent,0.2253295658218906
233,C2,-0.23227064724076077
234,C1,0.007410527396046182
234,Q1_percent,0.10354146141092657
234,C2,-0.10863233048616691
235,C1,-0.02213455385372032
235,Q1_percent,0.17459131357403693
235,C2,-0.12917975661835962
236,C1,0.13478494594409035
236,Q1_percent,-0.04935541073758266
236,C2,-0.037623427169922306
237,C1,-0.08425604407331717
237,Q1_percent,0.16799236428162811
237,C2,-0.12730541812971904
238,C1,-0.08636587343929496
238,Q1_percent,0.09605431016796016
238,C2,-0.16726559854297704
239,C1,0.024733773649599153
