replicate,method_id,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error
805,C1_restricted_boosting,0.3041563875153861,0.18376212810509965,337.41217514639635,152.7845361151423,0.5,0.08038506140323824,48.939035210871246
806,P1_ridge,0.4418852361088073,0.2920948270756219,455.2577840103248,235.65064063422733,0.5609756097560976,0.13759601000322352,75.08684384192574
806,P2_elasticnet,0.4568542274184753,0.3000822588767292,460.9261049040816,240.6836645403053,0.4878048780487805,0.14734677063555635,82.17367894087107
806,P3_additive_gam,0.4478951394084392,0.29847523274157184,461.5929317396168,245.71901337594593,0.4878048780487805,0.12449264339801715,74.94066127996592
806,C1_restricted_boosting,0.4293709684710877,0.3004938491430971,430.3973744790593,243.15403179928163,0.4878048780487805,0.13718739430483312,82.46303420123137
807,P1_ridge,0.35158946873052316,0.2842916993127897,266.0092203641873,195.5510643062349,0.525,0.1329857213214807,72.54213344329808
807,P2_elasticnet,0.3687114929085677,0.29537360516775074,274.0695469675285,202.8606750615311,0.5,0.1422331043022557,78.93649452646648
807,P3_additive_gam,0.3317498019678178,0.24696724177680923,264.76006163427377,178.837690208558,0.35,0.09388959304903854,56.53150537798839
807,C1_restricted_boosting,0.3190255449367386,0.2279605020060596,243.3641131602262,164.68555888683318,0.525,0.12945904505086914,79.33129847975053
808,P1_ridge,0.4219773343612934,0.3119835616746036,381.91077951984175,237.56851086393212,0.5853658536585366,0.14111707714286403,80.63895312494503
808,P2_elasticnet,0.4311726084183521,0.31892370089957045,386.10719427492995,241.57050837126275,0.4878048780487805,0.1437706881421901,82.64497469202699
808,P3_additive_gam,0.40914908336635475,0.2891350175523231,377.44094797495796,226.66915849651502,0.5609756097560976,0.13978684693328697,86.35350672785681
808,C1_restricted_boosting,0.4004367263850169,0.31561019349262265,358.19826214351195,244.3478395902839,0.5609756097560976,0.16942175807700258,107.56346501980161
