barcode,policy_table9,k,future_point_count,soh_mse,soh_rmse,soh_mae,confirmation_role
EL150800460449,4C(4%)-4.85C,100,384,0.0006785190208266572,0.026048397663323883,0.01599049838011057,Primary_restricted_confirmation
EL150800460451,3.6C(9%)-5C,100,460,0.0028160136281998515,0.053066125053557955,0.036760282828781916,Primary_restricted_confirmation
EL150800460468,5.4C(40%)-3.6C,100,953,0.0030170605773649378,0.05492777600963776,0.037059074059415886,Primary_restricted_confirmation
EL150800460473,6C(20%)-4.5C,100,365,0.0008641447035780581,0.029396338268193507,0.016707815273718278,Primary_restricted_confirmation
EL150800460474,6C(40%)-4C,100,356,0.0007119713542358269,0.026682791350153508,0.008320320666285916,Primary_restricted_confirmation
EL150800460477,5.4C(70%)-3C,100,913,0.0016026843846484163,0.04003354074583482,0.026173062762872002,Primary_restricted_confirmation
EL150800460480,4.4C(47%)-5.5C,100,386,0.0006985348387944269,0.02642980966247065,0.017324307114796357,Primary_restricted_confirmation
EL150800460481,6C(40%)-3.6C,100,775,0.003086600329382843,0.055557180718452975,0.037278510318010966,Primary_restricted_confirmation
EL150800460492,5.2C(66%)-3.5C,100,398,0.0002584373492260151,0.01607598672635727,0.01216566888746323,Primary_restricted_confirmation
EL150800460510,4C(31%)-5C,100,357,0.0009938252451654988,0.03152499397566158,0.021808215643795266,Primary_restricted_confirmation
EL150800460514,3.6C(80%)-3.6C,100,1751,0.003206600196153117,0.05662685048767163,0.03915055219184753,Primary_restricted_confirmation
EL150800460526,5.6C(5%)-4.75C,100,398,0.00011987845607214845,0.010948902048705543,0.009307833086966448,Primary_restricted_confirmation
EL150800460527,5.2C(10%)-4.75C,100,380,7.071243150794569e-06,0.0026591809172740706,0.0020024208269279137,Primary_restricted_confirmation
EL150800460528,5.6C(25%)-4.5C,100,434,0.01106538468595808,0.1051921322436145,0.08583451695288258,Primary_restricted_confirmation
EL150800460596,4.8C(80%)-4.8C,100,370,8.932828078546726e-05,0.009451363964289349,0.00833666887113197,Primary_restricted_confirmation
EL150800460597,4.8C(80%)-4.8C,100,394,0.0010378596206697308,0.03221582872858823,0.01882792164949866,Primary_restricted_confirmation
EL150800460599,6C(60%)-3C,100,612,0.00399414836448956,0.06319927503136061,0.0472309941752413,Primary_restricted_confirmation
EL150800460601,6C(60%)-3C,100,547,0.0018094424099557227,0.0425375411837088,0.024298139696589928,Primary_restricted_confirmation
EL150800460610,4.9C(61%)-4.5C,100,408,0.00018367400354513382,0.013552638250360474,0.007433271742539022,Primary_restricted_confirmation
EL150800460617,5.4C(80%)-5.4C,100,753,0.0009920326158411028,0.03149654926878662,0.01840556361889021,Primary_restricted_confirmation
EL150800460622,6C(50%)-3.6C,100,602,0.00011473982366871341,0.01071166764181532,0.006619365372552487,Primary_restricted_confirmation
EL150800460623,3.6C(80%)-3.6C,100,2136,0.002621829618338695,0.05120380472522228,0.03250834633086277,Primary_restricted_confirmation
EL150800460631,5.2C(50%)-4.25C,100,418,0.0003042209891326464,0.017441931920880966,0.013048230164848875,Primary_restricted_confirmation
EL150800460635,3.6C(2%)-4.85C,100,379,0.0009738539831928569,0.031206633640827985,0.019115917949854806,Primary_restricted_confirmation
EL150800460636,7C(40%)-3.6C,100,550,0.0012333066411464313,0.03511846581424694,0.01913113985413513,Primary_restricted_confirmation
EL150800460642,7C(30%)-3.6C,100,524,7.234234042953228e-05,0.00850543005553113,0.00577682688509407,Primary_restricted_confirmation
EL150800460644,6C(40%)-3C,100,816,0.0005873761154196265,0.02423584360858162,0.015081590354854662,Primary_restricted_confirmation
EL150800460647,7C(40%)-3C,100,950,0.0001897501452652064,0.013774982586747846,0.007840512224437943,Primary_restricted_confirmation
EL150800460649,5.6C(47%)-4C,100,364,6.871009973715466e-05,0.00828915555030515,0.004079970749292894,Primary_restricted_confirmation
EL150800460652,4.4C(8%)-4.85C,100,401,0.00037742483246610946,0.019427424751266173,0.013395789739167144,Primary_restricted_confirmation
EL150800460653,5.4C(50%)-3.6C,100,761,0.002428142776134699,0.049276188733857036,0.033362282271808076,Primary_restricted_confirmation
EL150800460656,8C(15%)-3.6C,100,498,0.0006905076834086624,0.026277512884758755,0.014786258819764515,Primary_restricted_confirmation
EL150800460673,2C(7%)-5.5C,100,234,0.002786349349219207,0.05278588210136501,0.04533190964555709,Primary_restricted_confirmation
EL150800460678,6C(52%)-3.5C,100,328,0.000728736763216183,0.02699512480460468,0.013723953712729609,Primary_restricted_confirmation
EL150800463198,6C(30%)-3.6C,100,741,0.00021137939458471872,0.01453889248136593,0.00992065984549632,Primary_restricted_confirmation
EL150800463245,4.65C(44%)-5C,100,412,0.0009279057489397723,0.03046154541286066,0.019508415341089887,Primary_restricted_confirmation
EL150800463838,5.4C(50%)-3C,100,779,0.003478468455810085,0.05897854233371731,0.04105770561720067,Primary_restricted_confirmation
EL150800463886,4.8C(80%)-4.8C,100,535,7.110921704895971e-05,0.008432628122297324,0.0044949880842071405,Primary_restricted_confirmation
EL150800464002,5.4C(60%)-3.6C,100,433,0.0006722205814715664,0.02592721700205339,0.023061544285959124,Primary_restricted_confirmation
EL150800464865,4C(80%)-4C,100,1608,0.003704208915225955,0.06086221253968636,0.04055713760444501,Primary_restricted_confirmation
